Allocated?,Seed Company,Plant,Name,Color,Trays,Days to Sprout,Height,Height (min),Height (max),Recommended,When to sow weeks w.r.t last frost outside,When to sow weeks w.r.t last frost inside,Sow Date,
TRUE,Baker Creek Seeds,"Pepper, Hot",Sugar Rush Peach,,"2 2x2""",7-10,"24""-36""",24,36,inside,-,8-12 before,1/31,
FALSE,Botanical Interests,"Flower, Echinacea",Paradiso Dwarf Blend,"yellow, orange, white, pink",2 6c,10-20,"18""-22""",18,22,n/a,2-4 before,10-12 before,1/31,
TRUE,Botanical Interests,"Herb, Rosemary",Rosemary,,,15-30,"24""",24,24,inside,-,10-12 before,1/31,
TRUE,Botanical Interests,"Flower, Lavender",English Tall / Vera,purple,1 6c,21-35,"24""-36""",24,36,inside,4-6 before,10-12 before,1/31,
TRUE,Seed Savers,"Flower, Milkweed",Common Milkweed,pink,1 4c,10-15,3'-4',36,48,inside,-,8-12 before,1/31,
TRUE,Burpee,"Herb, Basil",Purple,purple,,5-10,"18""-24""",18,24,inside,-,8-10 before,2/14,
FALSE,Botanical Interests,"Flower, Salvia",Blue Victory,purple,1 6c,10-15,"20""",20,20,inside,1-2 after,8-10 before,2/14,
TRUE,Botanical Interests,"Flower, Snapdragon",Night and Day,red,1 16c,10-15,"18""",18,18,inside,4-6 before,8-10 before,2/14,
FALSE,Botanical Interests,"Flower, Snapdragon",Tall Maximum Blend,"red, yellow, pink, white",1 16c,10-15,"30""-36""",30,36,inside,4-6 before,8-10 before,2/14,
FALSE,Botanical Interests,"Flower, Black-eyed Susan",Cherry Brandy,"red, orange",1 6c,10-15,"20""-24""",20,24,n/a,2-4 before,8-10 before,2/14,
TRUE,Botanical Interests,"Flower, Black-eyed Susan",Black-eyed Susan,yellow,1 6c,10-15,"24""-36""",24,36,n/a,2-4 before,8-10 before,2/14,
TRUE,Botanical Interests,"Pepper, Hot",Biquinho Red & Yellow,"red, yellow","2 2x2""",10-25,"24""",24,24,inside,-,8-10 before,2/14,
TRUE,Johnny's Seeds,"Pepper, Sweet",Lunchbox Pepper Mix OG,,"2 2x2""",10-25,"24""-36""",24,36,inside,-,8-10 before,2/14,
TRUE,Johnny's Seeds,"Herb, Thyme",Summer Thyme,,,14-21,"6""",6,6,inside,-,8-10 before,2/14,
TRUE,Botanical Interests,"Flower, Wild Bergamot",Wild Bergamot,purple,1 6c,14-21,"24""-48""",24,48,inside,2-4 before,8-10 before,2/14,
TRUE,Johnny's Seeds,"Flower, Zinnia",Jazzy Mix,,,3-5,"30""",30,30,inside,-,4-6 before,3/14,prefers warm germ
TRUE,Johnny's Seeds,"Herb, Bunching Onion",Deep Purple OG,green,1 16c,7-14,"12""-18""",12,18,inside,-,6-8 before,3/14,
TRUE,Botanical Interests,"Herb, Basil",Lemon,,,5-10,"18""-24""",18,24,inside,-,4-6 before,3/14,
TRUE,Botanical Interests,"Herb, Sage",Broadleaf,,1 6c,7-21,"12""",12,12,inside,-,6-8 before,3/14,
FALSE,Botanical Interests,"Lettuce, Romaine",Truchas,purple,1 6c,5-10,"12""",12,12,inside,2-4 before,4-6 before,3/14,
TRUE,Botanical Interests,"Flower, Alyssum",Allure Pastel Blend,"purple, white, pink",1 16c,5-15,"6""",6,6,n/a,1-2 before,4-6 before,3/14,
TRUE,Botanical Interests,"Flower, Calendula",Oopsy Daisy,"yellow, orange",1 6c,5-15,"8""",8,8,n/a,2-4 before,4-6 before,3/14,
FALSE,Botanical Interests,"Flower, Calendula",Zeolights Calendula,orange,1 6c,5-15,"12""-24""",12,24,n/a,2-4 before,4-6 before,3/14,
TRUE,Botanical Interests,"Flower, African Daisy",Cape Marigold,"orange, red, white, yellow",-,10-15,"8""-16""",8,16,n/a,1-2 before,6-8 before,3/14,
FALSE,Botanical Interests,"Flower, Linaria",Fairy Bouquet,"pink, yellow, orange",1 16c,10-20,"8""-15""",8,15,inside,1-2 before,6-8 before,3/14,
TRUE,Johnny's Seeds,"Cabbage, Green",Caraflex F1,,,7-14,"8""",6,8,inside,-,4-6 before,3/14,
TRUE,Johnny's Seeds,"Cabbage, Green",Tendersweet F1,,1 16c,7-14,"8""",6,8,inside,,4-6 before,3/14,
TRUE,Botanical Interests,"Flower, Penstemon",Rocky Mountain Blue,"blue, purple",,14-35,"24""-36""",24,36,n/a,6-8 before,6-8 before,3/14,prefers cold germ
TRUE,Johnny's Seeds,"Herb, Parsley",Giant of Italy,,1 16c,21-30,"12""",12,12,inside,-,6-8 before,3/14,
FALSE,Botanical Interests,"Flower, Sweet Pea",Mammoth Blend,"purple, white, pink",,10-21,5'-6' vine,60,72,outside,4-6 before,4-6 before,3/14,
TRUE,Botanical Interests,"Pea, Snap",Cascadia,,,5-10,"30"" vine",30,30,outside,4-6 before,-,3/14,
TRUE,Johnny's Seeds,"Pea, Snow",Oregon Sugar Pod II,,,5-10,"38"" vine",30,38,outside,4-6 before,4-6 before,3/14,
TRUE,Johnny's Seeds,Bok Choy,Win-win Choi F1,,,5-10,"12""",12,12,outside,2-4 before,-,3/28,
TRUE,TODO,Pac Choi,Little Shanghai F1,,,,,,,,,,,
TRUE,Botanical Interests,"Lettuce, Romaine",Little Gem,,,5-10,"12""",12,12,outside,2-4 before,4-6 before,3/28,
TRUE,Botanical Interests,"Lettuce, Butterhead",Buttercrunch,,,5-10,"12""",12,12,outside,2-4 before,4-6 before,3/28,
TRUE,Botanical Interests,"Flower, Calendula",Pacific Beauty Blend,"orange, yellow",,5-15,"12""-24""",12,24,outside,2-4 before,4-6 before,3/28,
TRUE,Johnny's Seeds,"Herb, Chives",Dolores,,1 16c,7-14,"12""-18""",12,18,outside,1-2 before,6-8 before,4/11,
TRUE,Botanical Interests,"Herb, Dill",Tetra,,1 6c,20-25,"12""-18""",12,18,outside,1-2 before,8-10 before,4/11,
TRUE,Botanical Interests,"Flower, Forget-me-not",Victoria Pink,pink,,5-10,"6""-8""",6,8,outside,1-2 before,4-6 before,4/11,
FALSE,Botanical Interests,"Flower, Forget-Me-Not",Spring and Summer,blue,,5-10,"6""-24""",6,24,outside,1-2 before,4-6 before,4/11,
FALSE,Epic Gardening,"Flower, Bachelor's Buttons",Polka Dot Mix,"blue, pink, purple",,7-14,"16""-24""",16,24,outside,1-2 before,4-6 before,4/11,
TRUE,Botanical Interests,"Flower, Zinnia",Thumbelina,"yellow, pink, red",,3-10,"10""-16""",10,16,outside,1-2 after,4-6 before,5/2,
TRUE,Botanical Interests,"Flower, Zinnia",Cut and Come Again,"pink, red, orange, yellow, white",,3-10,"18""-30""",18,30,outside,1-2 after,4-6 before,5/2,
TRUE,Johnny's Seeds,"Herb, Basil",Italian Large Leaf Organic F1,green,,5-10,"24""-30""",24,30,outside,1-2 after,4-6 before,5/2,
TRUE,Johnny's Seeds,"Bean, Pole",Cobra,,,6-12,7'-9' vine,84,108,outside,1-2 after,-,5/2,
TRUE,Botanical Interests,"Bean, Pole",Seychelles,,,6-12,7'-9' vine,84,108,outside,1-2 after,-,5/2,
TRUE,Botanical Interests,"Flower, Nasturtium",Alaska Variegated,"red, white, orange",,7-14,"10""-12""",10,12,outside,1-2 after,2-4 before,5/2,
FALSE,Botanical Interests,"Flower, Nasturtium",Peach Melba,"yellow, red",,7-14,"10""-14""",10,14,outside,1-2 after,2-4 before,5/2,
FALSE,Botanical Interests,"Flower, Sunflower",Elves Blend Dwarf Blend,yellow,,10-15,"16""-24""",16,24,outside,1-2 after,2-4 before,5/2,
FALSE,Botanical Interests,"Flower, Sunflower",Rouge Royale,red,,10-15,4'-6',48,72,outside,1-2 after,2-4 before,5/2,
TRUE,Botanical Interests,"Flower, Black-eyed Susan Vine",Black-eyed Susan Vine,yellow,,15-20,5'-8' vine,60,96,outside,1-2 after,6-8 before,5/2,